3/30/2026	5:00 AM	26%	230,811	30%	435,951	3.3	484,281	2%	31,764	8%	11,164	11.9	1,927,257	16.4	2,850,701	25.7	501,764	10.4	1,841,217	#NA		#NA		#NA		#NA		11.5	1,519,304	4.7	787,337	4.9	13,593	#NA		12%	85,786	20%	24,566	12.1	41,755	0%	2,565	11	535,813	24.4	1,179,645	21.6	896,312	19.9	807,363	8%	245,825	4%	53,202	9	467,128
3/30/2026	6:20 AM	26%	230,855	30%	435,951	2.8	484,510	2.5	31,780	8%	11,164	9.4	1,928,042	17.4	2,851,871	16.1	502,880	10.8	1,841,948	#NA		#NA		#NA		#NA		17.7	1,520,292	4.4	787,646	4%	13,616	#NA		10%	85,786	26%	24,566	6%	41,858	4%	2,565	9.2	536,576	23.9	1,181,440	22.1	897,891	19.8	808,823	5%	246,200	5%	53,203	8.1	467,873
3/30/2026	8:47 AM	26%	230,924	30%	435,951	2.9	484,977	2%	31,804	8%	11,164	11.2	1,929,751	14.4	2,854,505	12.2	505,483	10	1,843,606	#NA		#NA		#NA		#NA		11.7	1,522,335	4.5	788,354	5%	13,656	#NA		5%	85,786	26%	24,566	5%	42,014	4%	2,565	12.4	538,247	24.8	1,185,221	20.5	901,181	19.6	811,875	8.6	247,052	5%	53,203	8.9	469,430
3/30/2026	11:00 AM	25%	230,969	30%	435,951	3.1	485,400	2%	31,824	9%	11,164	11.2	1,931,226	15.8	2,856,752	18.9	507,414	10.3	1,845,049	#NA		#NA		#NA		#NA		13.4	1,524,251	4.5	788,966	4%	13,688	#NA		5%	85,786	24%	24,566	4.1	42,170	3%	2,565	7.8	539,668	23.8	1,188,504	24.3	904,032	19.3	814,528	9	247,823	5%	53,203	9.9	470,776
3/30/2026	12:30 PM	27%	230,977	31%	435,951	2.7	485,657	3%	31,841	9%	11,164	12.1	1,932,153	16.2	2,858,148	11.8	508,709	9.6	1,845,968	#NA		#NA		#NA		#NA		8.9	1,525,433	4.7	789,355	2%	13,697	#NA		9%	85,786	29%	24,566	5%	42,262	2%	2,565	12.3	540,573	23.8	1,190,594	22	905,856	19.5	816,207	8.1	248,207	4%	53,204	9	471,641
3/30/2026	3:00 PM	27%	230,995	32%	435,951	2.8	486,106	5%	31,858	9%	11,164	12	1,933,761	16.9	2,860,677	14.5	511,005	5.3	1,847,552	#NA		#NA		#NA		#NA		18	1,527,511	4.6	790,030	5%	13,718	#NA		7%	85,786	25%	24,566	5%	42,420	1%	2,565	10.1	542,085	24.5	1,194,112	21.4	908,930	19.5	819,062	5%	248,930	5%	53,204	10.6	473,068
3/30/2026	5:00 PM	27%	231,037	32%	435,951	2.8	486,468	3%	31,868	8%	11,164	11.8	1,935,071	16.9	2,862,686	13	513,119	10.5	1,848,836	#NA	51,219	#NA	369	4%	796,057	5%	418	12	1,529,189	4.4	790,573	5%	13,739	5%	2,885	10%	85,786	20%	24,566	4%	42,545	0%	2,565	9.7	543,327	24.5	1,196,996	22	911,451	19.5	821,395	6%	249,521	5%	53,207	10	474,244
3/30/2026	7:00 PM	27%	231,094	32%	435,951	2.8	486,844	3%	31,880	8%	11,164	11	1,936,403	16.4	2,864,742	10.5	514,890	10.8	1,850,125	#NA	51,228	#NA	370	5%	796,064	5%	418	16	1,530,919	4.5	791,119	5%	13,790	5%	2,885	10%	85,786	20%	24,566	5%	42,631	0%	2,565	11.3	544,601	22.9	1,199,930	20.3	914,044	20.4	823,791	10	250,110	5%	53,207	9	475,431
3/30/2026	9:00 PM	26%	231,128	34%	435,951	3	487,204	3%	31,898	9%	11,164	12	1,937,736	17.1	2,866,699	20.4	516,843	11	1,851,394	7%	51,244	1%	375	7%	796,067	5%	418	14	1,532,553	4.8	791,660	5%	13,839	5%	2,885	10%	85,786	23%	24,566	5%	42,721	1%	2,565	8.4	545,838	24	1,202,816	21.3	916,567	20	826,123	11	250,690	5%	53,207	10.1	476,582
3/30/2026	11:00 PM	25%	231,187	33%	435,951	3	487,586	5%	31,924	10%	11,164	11.9	1,939,150	14.5	2,868,867	14.3	518,814	11	1,852,824	#NA	51,255	#NA	384	5%	796,067	5%	418	19.7	1,534,339	4.6	792,276	5%	13,879	5%	2,885	10%	85,786	20%	24,566	5%	42,803	1%	2,565	11.2	547,367	25.1	1,206,401	20.3	919,629	21.5	828,945	5%	251,447	5%	53,207	9.9	478,011
