3/30/2026	5:00 AM	29.2	5,501,122	24.9	4,672,017	17.4	3,533,904	9.7	2,115,773	10.5	2,346,420	7.4	1,418,901	4.1	422,472	40%	219,583	4.6	1,473,578	2.8	490,060	3.5	540,925	2.4	699,558	10%	108,543	6%	500,513	8%	240,143	2%	20,798	2.9	428,025	4%	108,375	3%	41,596	5%	124,203	20%	213,340	6%	68,418	2.4	829,848	3.1	99,194
3/30/2026	6:20 AM	29	5,503,072	23.5	4,673,593	16.4	3,535,008	9.9	2,116,407	10.4	2,347,094	7.1	1,419,456	5%	422,572	39%	219,669	5.5	1,474,003	3.1	490,244	12%	541,028	3	699,715	7%	108,549	6%	500,581	7%	240,188	5%	20,798	5%	428,067	5%	108,375	2%	41,596	8%	124,203	10%	213,366	4%	68,431	3%	829,960	3	99,400
3/30/2026	8:47 AM	29	5,507,567	24.8	4,677,248	16.4	3,537,713	9.9	2,117,919	10.5	2,348,718	6.8	1,420,531	4%	422,786	35%	219,837	4.7	1,474,853	2.3	490,609	3.3	541,242	9%	700,085	6%	108,555	6%	500,729	6%	240,272	4%	20,798	4%	428,173	5%	108,375	2%	41,596	5%	124,203	11%	213,410	1%	68,442	5%	830,225	2.9	99,867
3/30/2026	11:00 AM	28.9	5,511,467	21.5	4,680,398	15.7	3,540,044	9.5	2,119,226	10.3	2,350,127	8.1	1,421,468	5%	422,932	2.6	219,982	5.9	1,475,580	4	490,961	2.5	541,422	3	700,393	9%	108,572	4.2	500,865	13%	240,348	5%	20,798	4%	428,260	5%	108,375	2%	41,596	5%	124,203	5.6	213,445	12%	68,448	5%	830,441	2.9	100,274
3/30/2026	12:30 PM	28.5	5,513,954	22.6	4,682,393	14.6	3,541,505	9.9	2,120,057	10.5	2,351,027	6.4	1,422,053	3.1	423,010	32%	220,077	5.3	1,476,036	4.7	491,131	12%	541,546	2.6	700,586	5%	108,584	4.6	500,938	2.6	240,406	5%	20,798	5%	428,305	4%	108,375	2%	41,596	5%	124,203	21%	213,466	13%	68,452	2.3	830,609	3.1	100,532
3/30/2026	3:00 PM	28.7	5,518,279	23.5	4,685,812	16.5	3,544,029	9.7	2,121,511	10.4	2,352,597	8.2	1,422,983	4%	423,131	31%	220,218	4.8	1,476,747	2.9	491,415	12%	541,737	2.3	700,856	8%	108,592	6%	501,072	13%	240,477	4%	20,798	5%	428,370	5%	108,375	2%	41,596	6%	124,203	12%	213,508	4.9	68,462	2.5	830,831	2.9	100,932
3/30/2026	5:00 PM	28.8	5,521,759	23.8	4,688,615	17.2	3,546,076	9.5	2,122,676	10.4	2,353,855	8.3	1,423,822	1%	423,253	5.5	220,345	6.1	1,477,390	3.2	491,665	12%	541,893	2.7	701,119	9%	108,606	5%	501,206	12%	240,548	5%	20,798	3.1	428,415	5%	108,375	3%	41,596	6%	124,203	12%	213,544	9%	68,501	2.4	831,031	3.5	101,288
3/30/2026	7:00 PM	29.1	5,525,261	24	4,691,717	17.9	3,548,165	9.5	2,123,839	10.6	2,355,117	5.9	1,424,646	3.5	423,389	3.7	220,473	5.4	1,478,037	9%	491,974	12%	542,046	2.9	701,364	6%	108,619	6%	501,358	3.3	240,628	5%	20,798	5%	428,474	5%	108,375	3%	41,596	5%	124,203	12%	213,579	5%	68,539	2.4	831,244	3	101,652
3/30/2026	9:00 PM	28.8	5,528,710	23	4,694,222	18.8	3,550,237	9.8	2,124,999	10.4	2,356,365	6.8	1,425,457	5%	423,532	34%	220,596	4.5	1,478,674	9%	492,265	2.5	542,226	2.6	701,639	5%	108,623	7%	501,449	8%	240,699	5%	20,798	5%	428,509	5%	108,375	3%	41,596	8%	124,203	12%	213,607	13%	68,568	2.4	831,458	2.8	102,005
3/30/2026	11:00 PM	28.5	5,532,629	23.7	4,697,398	17.5	3,552,605	9.7	2,126,331	10.5	2,357,656	6.8	1,426,304	2.9	423,668	4.7	220,725	5.4	1,479,354	10%	492,551	11%	542,380	3.1	701,931	13%	108,640	2.4	501,640	3.8	240,778	5%	20,798	8%	428,595	5%	108,375	3%	41,596	5%	124,203	21%	213,641	2.9	68,626	2.4	831,670	3	102,413
3/31/2026	1:00 AM	28.9	5,535,917	24.8	4,700,000	16.3	3,554,600	9.6	2,127,436	10.5	2,358,854	6.1	1,427,070	3.9	423,777	33%	220,837	5.2	1,479,970	4	492,788	11%	542,538	3.1	702,159	13%	108,663	8%	501,733	15%	240,840	5%	20,798	8%	428,650	5%	108,375	3%	41,596	5%	124,203	21%	213,671	6%	68,662	2.5	831,886	3	102,747
3/31/2026	3:00 AM	29.1	5,539,415	24.4	4,702,913	17.6	3,556,690	9.8	2,128,610	10.6	2,360,135	7.7	1,427,924	5%	423,911	32%	220,962	6.2	1,480,620	4.4	493,052	4.7	542,703	2.9	702,438	3.4	108,684	3	501,887	15%	240,917	5%	20,798	3.4	428,714	5%	108,375	3%	41,596	5%	124,203	21%	213,704	6%	68,696	2.5	832,121	3.1	103,103
3/31/2026	5:00 AM	29.3	5,543,104	23.6	4,705,934	19.5	3,558,933	9.8	2,129,845	103	2,361,399	8.4	1,428,746	5%	424,040	30%	221,090	5.6	1,481,264	4.8	493,284	12%	542,872	3.2	702,719	10%	108,700	5%	502,016	3%	240,987	5%	20,798	3.1	428,790	6%	108,375	3%	41,596	6%	124,203	20%	213,737	10%	68,725	6%	832,336	3.1	103,462
